GeneSym	NA	GeneID
IL36RN	na	26525
DCN	na	1634
ILDR1	na	286676
IMPAD1	na	54928
IMPDH1	na	3614
IMPDH2	na	3615
IMPG1	na	3617
INF2	na	64423
INPP5E	na	56623
INPPL1	na	3636
INVS	na	27130
IQCB1	na	9657
IQSEC2	na	23096
IRAK4	na	51135
IRF1	na	3659
IRF4	na	3662
IRF6	na	3664
IRF8	na	3394
IRX5	na	10265
ISCU	na	23479
ISG15	na	9636
ISPD	na	729920
ITCH	na	83737
ITGA3	na	3675
ITGA8	na	8516
ITGB2	na	3689
ITGA2B	na	3674
ITGB3	na	3690
ITGB6	na	3694
ITK	na	3702
ITM2B	na	9445
ITPA	na	3704
ITPR1	na	3708
IVD	na	3712
IYD	na	389434
JAGN1	na	84522
JAM3	na	83700
JUP	na	3728
KAL1	na	3730
KANSL1	na	284058
KARS	na	3735
KAT6B	na	23522
KBTBD13	na	390594
KCNA1	na	3736
KCNA5	na	3741
KCNB1	na	3745
KCNC3	na	3748
KCND3	na	3752
KCNE1	na	3753
KCNH1	na	3756
KCNJ1	na	3758
ABCC8	na	6833
KCNJ11	na	3767
GCK	na	2645
KCNJ18	na	100134444
KCNE3	na	10008
KCNJ5	na	3762
KCNK3	na	3777
KCNK9	na	51305
KCNMA1	na	3778
KCNQ2	na	3785
KCNQ3	na	3786
KCNQ4	na	9132
KCNV2	na	169522
KCTD1	na	284252
KCTD7	na	154881
KDM5C	na	8242
KDM6A	na	7403
KERA	na	11081
KHDC3L	na	154288
KHK	na	3795
KIAA0196	na	9897
KIAA0226	na	9711
KIAA1033	na	23325
KIAA2022	na	340533
KIF11	na	3832
KIF1C	na	10749
KIF21A	na	55605
KIF22	na	3835
KIF2A	na	3796
KIF5A	na	3798
KIF5C	na	3800
KIF7	na	374654
KIRREL3	na	84623
KISS1	na	3814
KISS1R	na	84634
KIT	na	3815
KITLG	na	4254
KLF1	na	10661
KLF11	na	8462
KLHDC8B	na	200942
KLHL10	na	317719
CUL3	na	8452
KLHL3	na	26249
KLHL40	na	131377
KLHL7	na	55975
KLK1	na	3816
KLK4	na	9622
KLKB1	na	3818
KMT2D	na	8085
KNG1	na	3827
KPTN	na	11133
KRIT1	na	889
KRT1	na	3848
KRT16	na	3868
KRT17	na	3872
KRT4	na	3851
KRT5	na	3852
KRT6A	na	3853
KRT6C	na	286887
KRT71	na	112802
KYNU	na	8942
L1CAM	na	3897
L2HGDH	na	79944
LAMA1	na	284217
LAMA4	na	3910
LAMB1	na	3912
LAMB2	na	3913
COL17A1	na	1308
LAMA3	na	3909
LAMB3	na	3914
LAMC2	na	3918
ITGB4	na	3691
LAMC3	na	10319
LAMP2	na	3920
LARGE	na	9215
LARS	na	51520
LARS2	na	23395
LBR	na	3930
LCA5	na	167691
LCAT	na	3931
LCK	na	3932
LCT	na	3938
LDB3	na	11155
LDHB	na	3945
APOB	na	338
LDLR	na	3949
LDLRAP1	na	26119
LEFTY2	na	7044
LEMD3	na	23592
LEP	na	3952
LEPRE1	na	64175
LEPREL1	na	55214
LGI1	na	9211
LHB	na	3972
LHFPL5	na	222662
LHX3	na	8022
LHX4	na	89884
LIAS	na	11019
LIFR	na	3977
LIG4	na	3981
LIM2	na	3982
LINS	na	55180
LIPA	na	3988
LIPC	na	3990
LIPH	na	200879
LITAF	na	9516
LMAN1	na	3998
LMBR1	na	64327
LMF1	na	64788
LMOD3	na	56203
LMX1B	na	4010
LOXHD1	na	125336
LPA	na	4018
LPIN1	na	23175
LPIN2	na	9663
LPL	na	4023
LRBA	na	987
LRIG2	na	9860
LRIT3	na	345193
LRP2	na	4036
LRP4	na	4038
